"name","iso_3digit_alpha"
"Bolivia","BOL"
"Bosnia and Herzegovina","BIH"
"Burma","MMR"
"Congo, Democratic Republic of the","COD"
"Congo, Republic of the",NA
"Cote d'Ivoire","CIV"
"Eswatini","SWZ"
"Falkland Islands (Islas Malvinas)","FLK"
"Faroe Islands","FRO"
"Gambia, The","GMB"
"Gaza Strip",NA
"Hong Kong","HKG"
"Jersey","JEY"
"Korea, South","KOR"
"Kosovo","XKX"
"Laos","LAO"
"Macau","MAC"
"Micronesia, Federated States of","FSM"
"Moldova","MDA"
"North Macedonia","MKD"
"Russia","RUS"
"Taiwan","TWN"
"Tanzania","TZA"
"Turkey (Turkiye)","TUR"
"United States","USA"
"Vietnam","VNM"
"West Bank",NA
